cluster,avg_G3,pass_rate
0,10.495934959349594,0.7154471544715447
1,11.355,0.805
2,10.521367521367521,0.7435897435897436
3,11.37864077669903,0.7864077669902912
4,9.4,0.4
5,12.15625,0.84375
6,12.282352941176471,0.8823529411764706
7,12.872881355932204,0.847457627118644
8,10.703125,0.65625
9,10.927272727272728,0.7515151515151515
