Variant,Model,Accuracy,Precision,Recall,F1,ROC-AUC
no_G1G2,LogisticRegression,0.7129186602870813,0.8366013071895425,0.7852760736196319,0.810126582278481,0.667844758602294
no_G1G2,DecisionTree,0.7033492822966507,0.8023952095808383,0.8220858895705522,0.8121212121212121,0.5523472926113631
no_G1G2,RandomForest,0.7655502392344498,0.8064516129032258,0.9202453987730062,0.8595988538681948,0.6991864497199253
no_G1G2,SVM,0.7511961722488039,0.84472049689441,0.8343558282208589,0.8395061728395061,0.6698452920778875
