Variant,Model,Accuracy,Precision,Recall,F1,ROC-AUC
with_G1G2,LogisticRegression,0.8995215311004785,0.9551282051282052,0.9141104294478528,0.9341692789968652,0.9595892237930115
with_G1G2,DecisionTree,0.9186602870813397,0.9294117647058824,0.9693251533742331,0.948948948948949,0.9315150706855161
with_G1G2,RandomForest,0.8947368421052632,0.9272727272727272,0.9386503067484663,0.9329268292682927,0.9549879967991465
with_G1G2,SVM,0.9090909090909091,0.9444444444444444,0.9386503067484663,0.9415384615384615,0.9475860229394505
